Case_ID,Product,Folder,Language,Ground_Truth_Category,Primary_Category,Secondary_Categories,Abstained,Primary_Evidence_Strength,Dominant_Mechanism,Ranked_Categories,Top1_Prediction,Top2_Predictions,Top1_Correct,Top2_Correct,Mis_Status,Mis_Strength,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Direction_Coherence,Ov_Status,Ov_Strength,Ov_Total_Intersection_Area_px2,Ov_Max_Horizontal_Intrusion_px,Ov_Max_Vertical_Intrusion_px,Tr_Status,Tr_Strength,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Container_Accommodated_Count,Un_Status,Un_Strength,Un_Genuine_Untrans_Strings,Un_Total_Latin_Words,Un_Tech_Brand_Tokens,HK_Status,HK_Strength,GT_is_Primary,GT_is_Secondary,GT_Evidence_Present,GT_Evidence_Strength,GT_Evidence_Absent,GT_Visually_Unsupported,Error_Bucket,Failure_Domain,Why_Another_Won,Competing_Evidence_Nature,Causal_Explanation
34,Inventor,Inventor-07,PTB,Overlapping,Untranslation,Overlapping,False,1.0,"Preserved User-Facing English Lexicon (3 untranslated strings, 3 Latin words)",Overlapping;Untranslation;Misalignment;Truncation;Repeated hotkey,Untranslation,Untranslation;Overlapping,False,True,WEAK_EVIDENCE,0.022,1.0,2.0,1.0,STRONG_EVIDENCE,0.565,1624,74,21,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.45,3,3,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.565,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (1.0) than Overlapping (0.565).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (3 untranslated strings, 3 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.725). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
35,Inventor,Inventor-08,JPN,Overlapping,Misalignment,Truncation;Overlapping,False,1.0,"Structural Column Grid Break (307.0px anchor break, 309.1px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Truncation,False,True,STRONG_EVIDENCE,1.0,307.0,309.07,0.082,STRONG_EVIDENCE,1.0,6570,103,19,STRONG_EVIDENCE,0.6,1,0,2,WEAK_EVIDENCE,0.0,0,0,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Misalignment generated higher continuous specificity (1.0) than Overlapping (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (307.0px anchor break, 309.1px residual drift). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.900), Overlapping (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
36,Inventor,Inventor-33,ITA,Overlapping,Untranslation,Truncation,False,1.0,"Preserved User-Facing English Lexicon (3 untranslated strings, 3 Latin words)",Truncation;Untranslation;Misalignment;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,False,WEAK_EVIDENCE,0.019,2.0,2.83,1.0,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,10,STRONG_EVIDENCE,0.45,3,3,2,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.0,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Untranslation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (3 untranslated strings, 3 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
37,Inventor,Inventor-34,KOR,Overlapping,Truncation,Untranslation,False,1.0,"Text Boundary Clipping / Localized Ellipsis (9 verified ellipsis, 0px overflow)",Truncation;Untranslation;Misalignment;Overlapping;Repeated hotkey,Truncation,Truncation;Untranslation,False,False,MODERATE_EVIDENCE,0.309,2.0,138.29,0.096,STRONG_EVIDENCE,0.224,780,26,16,STRONG_EVIDENCE,1.0,9,0,0,STRONG_EVIDENCE,1.0,12,12,30,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.224,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (9 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
38,Inventor,Inventor-39,ESP,Overlapping,Misalignment,Overlapping,False,1.0,"Structural Column Grid Break (142.0px anchor break, 142.0px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Overlapping,False,True,STRONG_EVIDENCE,1.0,142.0,142.0,-0.001,STRONG_EVIDENCE,1.0,92910,339,162,MODERATE_EVIDENCE,0.0,0,0,0,WEAK_EVIDENCE,0.0,0,0,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Misalignment generated higher continuous specificity (1.0) than Overlapping (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (142.0px anchor break, 142.0px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
39,Vault,Vault-04,HUN,Overlapping,Overlapping,Misalignment,False,1.0,"Geometric Boundary Collision (21651px² overlap area, 66.0px intrusion)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Overlapping,Overlapping;Misalignment,True,True,MODERATE_EVIDENCE,1.0,138.0,205.3,0.549,STRONG_EVIDENCE,1.0,21651,66,299,MODERATE_EVIDENCE,0.0,0,0,0,WEAK_EVIDENCE,0.0,0,0,5,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Overlapping (strength: 1.000) driven by Geometric Boundary Collision (21651px² overlap area, 66.0px intrusion). Causal Precedence: Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.875). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
40,Vault,Vault-05,ITA,Overlapping,NO_STRONG_OBSERVABLE_DEFECT,,True,0.0,INSUFFICIENT_OBSERVABLE_PHYSICAL_EVIDENCE,Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,NO_STRONG_OBSERVABLE_DEFECT,,False,False,NO_EVIDENCE,0.0,0.0,0.0,1.0,WEAK_EVIDENCE,0.0,0,0,0,WEAK_EVIDENCE,0.0,0,0,1,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.0,False,False,ABSTAINED_GT_PRESENT,EXTRACTION_LIMITATION (Sparse matching or low spatial contrast),No category exceeded the baseline layout noise threshold.,Sub-pixel layout noise,No single visual defect mechanism exhibited strong physical evidence (top candidate was Misalignment with strength 0.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR.
41,Vault,Vault-06,JPN,Overlapping,Truncation,,False,0.9,"Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow)",Truncation;Misalignment;Overlapping;Untranslation;Repeated hotkey,Truncation,Truncation,False,False,MODERATE_EVIDENCE,0.092,0.0,32.64,0.199,WEAK_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.0,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 0.900) driven by Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
42,Vault,Vault-12,CHT,Overlapping,Truncation,Misalignment;Overlapping;Untranslation,False,1.0,"Text Boundary Clipping / Localized Ellipsis (3 verified ellipsis, 0px overflow)",Overlapping;Truncation;Misalignment;Untranslation;Repeated hotkey,Truncation,Truncation;Misalignment,False,True,STRONG_EVIDENCE,0.556,59.0,126.02,0.231,STRONG_EVIDENCE,1.0,11881,617,18,STRONG_EVIDENCE,1.0,3,0,5,STRONG_EVIDENCE,0.25,1,3,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Overlapping (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (3 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.731), Overlapping (strength: 0.700), Untranslation (strength: 0.354). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
43,Vault,Vault-14,FRA,Overlapping,Untranslation,Truncation;Misalignment,False,1.0,"Preserved User-Facing English Lexicon (9 untranslated strings, 16 Latin words)",Untranslation;Overlapping;Truncation;Misalignment;Repeated hotkey,Untranslation,Untranslation;Truncation,False,False,STRONG_EVIDENCE,0.488,72.0,71.5,0.2,STRONG_EVIDENCE,0.839,1703,127,17,STRONG_EVIDENCE,0.6,1,0,10,STRONG_EVIDENCE,1.0,9,16,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.839,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Untranslation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (9 untranslated strings, 16 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650), Misalignment (strength: 0.319). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
44,Vault,Vault-18,JPN,Overlapping,Untranslation,Overlapping,False,0.767,"Preserved User-Facing English Lexicon (1 untranslated strings, 4 Latin words)",Overlapping;Untranslation;Misalignment;Truncation;Repeated hotkey,Untranslation,Untranslation;Overlapping,False,True,MODERATE_EVIDENCE,0.285,34.0,21.84,0.359,STRONG_EVIDENCE,0.494,1242,69,18,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.3,1,4,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.494,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (0.767) than Overlapping (0.494).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 0.767) driven by Preserved User-Facing English Lexicon (1 untranslated strings, 4 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.648). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
45,Vault,Vault-31,KOR,Overlapping,Overlapping,,False,0.898,"Geometric Boundary Collision (1242px² overlap area, 69.0px intrusion)",Overlapping;Untranslation;Misalignment;Truncation;Repeated hotkey,Overlapping,Overlapping,True,True,MODERATE_EVIDENCE,0.088,0.0,23.77,0.246,STRONG_EVIDENCE,0.494,1242,69,18,MODERATE_EVIDENCE,0.0,0,0,0,MODERATE_EVIDENCE,0.15,1,1,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,0.494,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Overlapping (strength: 0.898) driven by Geometric Boundary Collision (1242px² overlap area, 69.0px intrusion). Causal Precedence: Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
46,Vault,Vault-33,PTB,Overlapping,Untranslation,Misalignment;Truncation,False,1.0,"Preserved User-Facing English Lexicon (14 untranslated strings, 15 Latin words)",Misalignment;Untranslation;Truncation;Overlapping;Repeated hotkey,Untranslation,Untranslation;Misalignment,False,False,STRONG_EVIDENCE,1.0,348.0,348.37,0.17,STRONG_EVIDENCE,0.411,2092,32,17,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,1.0,14,15,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.411,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Untranslation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (14 untranslated strings, 15 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.700), Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
47,Vault,Vault-34,CHS,Overlapping,Overlapping,Misalignment,False,0.942,"Geometric Boundary Collision (1460px² overlap area, 73.0px intrusion)",Overlapping;Misalignment;Truncation;Untranslation;Repeated hotkey,Overlapping,Overlapping;Misalignment,True,True,MODERATE_EVIDENCE,0.369,56.0,56.01,0.201,STRONG_EVIDENCE,0.54,1460,73,20,MODERATE_EVIDENCE,0.0,0,0,0,WEAK_EVIDENCE,0.0,0,0,4,VISUALLY_UNSUPPORTED,-1.0,True,False,True,0.54,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Overlapping (strength: 0.942) driven by Geometric Boundary Collision (1460px² overlap area, 73.0px intrusion). Causal Precedence: Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.472). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
51,Civil3d,Civil3d-22,FRA,Repeated hotkey,Misalignment,Truncation;Untranslation;Overlapping,False,1.0,"Structural Column Grid Break (164.0px anchor break, 136.0px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Truncation,False,False,STRONG_EVIDENCE,1.0,164.0,136.01,0.205,STRONG_EVIDENCE,1.0,5473,269,20,STRONG_EVIDENCE,1.0,2,744,0,STRONG_EVIDENCE,1.0,10,12,2,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (164.0px anchor break, 136.0px residual drift). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 1.000), Untranslation (strength: 1.000), Overlapping (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
52,Inventor,Inventor-02,ITA,Repeated hotkey,Truncation,Untranslation,False,1.0,"Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow)",Truncation;Untranslation;Overlapping;Misalignment;Repeated hotkey,Truncation,Truncation;Untranslation,False,False,MODERATE_EVIDENCE,0.295,22.0,90.71,-0.067,STRONG_EVIDENCE,0.373,565,61,14,STRONG_EVIDENCE,1.0,4,0,0,STRONG_EVIDENCE,1.0,33,43,10,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
53,Inventor,Inventor-28,JPN,Repeated hotkey,Truncation,Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 377px overflow)",Truncation;Misalignment;Overlapping;Untranslation;Repeated hotkey,Truncation,Truncation;Misalignment,False,False,MODERATE_EVIDENCE,0.401,69.0,38.0,0.123,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,1.0,0,377,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 377px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.497). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
54,Inventor,Inventor-29,CSY,Repeated hotkey,Truncation,Overlapping;Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow)",Overlapping;Truncation;Misalignment;Untranslation;Repeated hotkey,Truncation,Truncation;Overlapping,False,False,MODERATE_EVIDENCE,0.281,20.0,60.07,0.05,STRONG_EVIDENCE,1.0,6595,143,17,STRONG_EVIDENCE,1.0,2,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.700), Misalignment (strength: 0.358). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
55,Inventor,Inventor-30,FRA,Repeated hotkey,Truncation,Untranslation,False,1.0,"Text Boundary Clipping / Localized Ellipsis (5 verified ellipsis, 0px overflow)",Truncation;Untranslation;Misalignment;Overlapping;Repeated hotkey,Truncation,Truncation;Untranslation,False,False,MODERATE_EVIDENCE,0.322,30.0,70.01,0.307,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,1.0,5,0,0,STRONG_EVIDENCE,1.0,15,16,6,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (5 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
56,Inventor,Inventor-36,PTB,Repeated hotkey,Truncation,Untranslation;Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow)",Truncation;Untranslation;Misalignment;Overlapping;Repeated hotkey,Truncation,Truncation;Untranslation,False,False,MODERATE_EVIDENCE,0.525,40.0,162.09,0.059,STRONG_EVIDENCE,0.254,532,38,14,STRONG_EVIDENCE,1.0,2,0,0,STRONG_EVIDENCE,1.0,7,7,10,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000), Misalignment (strength: 0.284). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
57,Vault,Vault-09,PTB,Repeated hotkey,Untranslation,Truncation,False,1.0,"Preserved User-Facing English Lexicon (5 untranslated strings, 16 Latin words)",Untranslation;Truncation;Misalignment;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,False,MODERATE_EVIDENCE,0.257,28.0,57.22,0.142,STRONG_EVIDENCE,0.036,90,5,18,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,1.0,5,16,0,VISUALLY_UNSUPPORTED,-1.0,False,False,False,-1.0,False,True,VISUALLY_UNSUPPORTED,EXTRACTION_LIMITATION (Native font underlines require Win32 .rc table),Repeated hotkey is visually unobservable via flat OCR.,Unrelated visual artifacts,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (5 untranslated strings, 16 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
59,Civil3d,Civil3d-04,PLK,Truncation,Untranslation,Truncation,False,1.0,"Preserved User-Facing English Lexicon (4 untranslated strings, 5 Latin words)",Untranslation;Truncation;Misalignment;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,True,MODERATE_EVIDENCE,0.056,2.0,18.03,-0.3,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.65,4,5,4,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.6,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (1.0) than Truncation (0.6).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (4 untranslated strings, 5 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
60,Civil3d,Civil3d-05,DEU,Truncation,Truncation,Untranslation;Misalignment;Overlapping,False,1.0,"Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Truncation,Truncation;Untranslation,True,True,STRONG_EVIDENCE,1.0,268.0,268.27,0.565,STRONG_EVIDENCE,1.0,9329,110,48,STRONG_EVIDENCE,1.0,4,0,0,STRONG_EVIDENCE,0.35,1,5,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 0.829), Misalignment (strength: 0.508), Overlapping (strength: 0.450). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
61,Civil3d,Civil3d-10,PTB,Truncation,Untranslation,Truncation,False,1.0,"Preserved User-Facing English Lexicon (5 untranslated strings, 6 Latin words)",Untranslation;Truncation;Misalignment;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,True,MODERATE_EVIDENCE,0.062,2.0,17.03,0.666,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.8,5,6,5,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.6,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (1.0) than Truncation (0.6).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (5 untranslated strings, 6 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
62,Civil3d,Civil3d-17,HUN,Truncation,Untranslation,Truncation,False,1.0,"Preserved User-Facing English Lexicon (5 untranslated strings, 5 Latin words)",Untranslation;Truncation;Overlapping;Misalignment;Repeated hotkey,Untranslation,Untranslation;Truncation,False,True,MODERATE_EVIDENCE,0.145,10.0,23.88,0.027,STRONG_EVIDENCE,0.594,1494,83,18,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.75,5,5,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.6,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (1.0) than Truncation (0.6).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (5 untranslated strings, 5 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
